mm,ml
2,1
3.63,2
4.63,3
5.63,4
6.63,5
7.63,6
8.63,7
9.63,8
10.63,9
11,10
12,11
13,12
14,13
15,14
16,15
17,16
18,17
19,18
20,19
21,20
21.6,21
22.2,22
22.8,23
23.4,24
24,25
24.7,26
25.4,27
26.1,28
26.8,29
27.5,30
28,31
28.5,32
29,33
29.5,34
30.5,35
31.4,36
32.3,37
33.2,38
34.1,39
35,40
35.5,41
36,42
36.5,43
37,44
37.5,45
38.2,46
38.9,47
39.6,48
40.3,49
41,50
41.4,51
41.8,52
42.2,53
42.6,54
43,55
43.4,56
43.8,57
44.2,58
44.6,59
45,60
45.6,61
46.2,62
46.8,63
47.4,64
48,65
48.6,66
49.2,67
49.8,68
50.4,69
51,70
51.4,71
51.8,72
52.2,73
52.6,74
53,75
53.6,76
54.2,77
54.8,78
55.4,79
55,80
55.6,81
56.2,82
56.8,83
57.4,84
58,85
58.4,86
58.8,87
59.2,88
59.6,89
60,90
60.5,91
61,92
61.5,93
62,94
62.5,95
63,96
63.5,97
64,98
64.5,99
65,100
65.3,101
65.6,102
65.9,103
66.2,104
66.5,105
67,106
67.5,107
68,108
68.5,109
69,110
69.3,111
69.6,112
69.9,113
70.2,114
70.5,115
70.9,116
71.3,117
71.7,118
72.1,119
72.5,120
72.8,121
73.1,122
73.4,123
73.7,124
74,125
74.4,126
74.8,127
75.2,128
75.4,129
76,130
76.4,131
76.8,132
77.2,133
77.6,134
78,135
78.4,136
78.8,137
79.2,138
79.6,139
80,140
80.3,141
80.6,142
80.9,143
81.2,144
81.5,145
81.8,146
82.1,147
82.4,148
82.7,149
83,150
83.3,151
83.6,152
83.9,153
84.2,154
84.5,155
84.7,156
84.9,157
85.1,158
85.3,159
85.5,160
85.7,161
85.9,162
86.1,163
86.3,164
86.5,165
86.9,166
87.3,167
87.7,168
88.1,169
88.5,170
89.1,171
89.7,172
90.3,173
90.9,174
91.5,175
91.73,176
91.96,177
92.19,178
92.42,179
92.65,180
92.88,181
93.11,182
93.34,183
93.57,184
93.8,185
94.03,186
94.26,187
94.49,188
94.72,189
94.95,190
95.18,191
95.41,192
95.64,193
95.87,194
96.1,195
96.33,196
96.56,197
96.79,198
97.02,199
97.25,200
97.85,201
98.45,202
99.05,203
99.65,204
100.25,205
100.56,206
100.87,207
101.18,208
101.49,209
101.8,210
102.19,211
102.584,212
102.976,213
103.368,214
103.76,215
104.14,216
104.53,217
104.92,218
105.31,219
105.7,220
106.1,221
106.5,222
106.9,223
107.3,224
107.78,225
107.84,226
107.9,227
107.96,228
108.02,229
108.1,230
108.44,231
108.79,232
109.135,233
109.48,234
109.82,235
110.17,236
110.515,237
110.86,238
111.2,239
111.55,240
111.89,241
112.58,242
112.93,243
113.27,244
113.62,245
114.31,246
114.65,247
115,248
115.34,249
115.69,250
